annee,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre
2010,8150,10240,8400,6360,6230,8270,6160,990,640,8470,9380,11390
2011,6630,11750,10060,5820,5730,7150,7480,1100,1330,9090,7670,15400
2012,6270,7650,9480,5960,6360,7210,4160,650,1160,8180,8820,14800
2013,7620,4420,9120,6690,5220,8710,4960,1180,280,7740,8410,13180
2014,7760,7690,11180,6360,4800,8680,5580,840,790,8510,7210,12150
2015,6840,12530,10500,7480,4320,8370,5260,1250,900,9530,7330,14290
2016,6890,11440,9760,8300,4250,7610,5600,1960,860,11310,7580,14340
2017,6640,14920,9410,8480,4600,7980,6250,2620,1390,8950,8790,13750

